Municipio,Ano,Vacas
1100601,1977,-
1100601,1978,-
1100601,1979,-
1100601,1980,-
1100601,1981,-
1100601,1982,-
1100601,1983,-
1100601,1984,-
1100601,1985,-
1100601,1986,-
1100601,1987,-
1100601,1988,-
1100601,1989,-
1100601,1990,-
1100601,1991,-
1100601,1992,-
1100601,1993,10710
1100601,1994,716
1100601,1995,3360
1100601,1996,3122
1100601,1997,3432
1100601,1998,5515
1100601,1999,4420
1100601,2000,4774
1100601,2001,5319
1100601,2002,6762
1100601,2003,10142
1100601,2004,11137
1100601,2005,11974
1100601,2006,10258
1100601,2007,10600
1100601,2008,9313
1100601,2009,9656
1100601,2010,9853
1100601,2011,9670
1100601,2012,8542
1100601,2013,7288
1100601,2014,10458
1100049,1974,-
1100049,1975,-
1100049,1976,-
1100049,1977,-
1100049,1978,519
1100049,1979,1430
1100049,1980,3306
1100049,1981,2212
1100049,1982,2316
1100049,1983,5400
1100049,1984,11900
1100049,1985,10800
1100049,1986,10615
1100049,1987,10371
1100049,1988,12159
1100049,1989,14257
1100049,1990,26882
1100049,1991,29570
1100049,1992,32528
1100049,1993,25047
1100049,1994,20638
1100049,1995,22496
1100049,1996,20348
1100049,1997,22386
1100049,1998,22675
1100049,1999,26829
1100049,2000,27282
1100049,2001,20982
1100049,2002,29040
1100049,2003,18430
1100049,2004,19988
1100049,2005,19084
1100049,2006,22997
1100049,2007,23962
1100049,2008,19695
1100049,2009,20143
1100049,2010,20649
1100049,2011,25190
1100049,2012,19753
1100049,2013,18361
1100049,2014,24437
1100700,1974,-
1100700,1975,-
1100700,1976,-
1100700,1977,-
1100700,1978,-
1100700,1979,-
1100700,1980,-
1100700,1981,-
1100700,1982,-
1100700,1983,-
1100700,1984,-
1100700,1985,-
1100700,1986,-
1100700,1987,-
1100700,1988,-
1100700,1989,-
1100700,1990,-
1100700,1991,-
1100700,1992,-
1100700,1993,2250
1100700,1994,657
1100700,1995,1810
1100700,1996,1849
1100700,1997,1084
1100700,1998,1858
1100700,1999,2122
1100700,2000,2292
1100700,2001,4427
1100700,2002,6105
1100700,2003,9108
1100700,2004,12054
1100700,2005,14506
1100700,2006,16086
1100700,2007,18078
1100700,2008,22045
1100700,2009,23499
1100700,2010,25395
1100700,2011,29000
1100700,2012,24083
1100700,2013,18483
1100700,2014,20927
1100809,1974,-
1100809,1975,-
1100809,1976,-
1100809,1977,-
1100809,1978,-
1100809,1979,-
1100809,1980,-
1100809,1981,-
1100809,1982,-
1100809,1983,-
1100809,1984,-
1100809,1985,-
1100809,1986,-
1100809,1987,-
1100809,1988,-
1100809,1989,-
1100809,1990,-
1100809,1991,-
1100809,1992,-
1100809,1993,5250
1100809,1994,1880
1100809,1995,3885
1100809,1996,2475
1100809,1997,2721
1100809,1998,3401
1100809,1999,3503
1100809,2000,3783
1100809,2001,5521
1100809,2002,6344
1100809,2003,4954
1100809,2004,5536
1100809,2005,6115
1100809,2006,6260
1100809,2007,6093
1100809,2008,6740
1100809,2009,7176
1100809,2010,7785
1100809,2011,5296
1100809,2012,3227
1100809,2013,3187
1100809,2014,4959
1100908,1974,-
1100908,1975,-
1100908,1976,-
1100908,1977,-
1100908,1978,-
1100908,1979,-
1100908,1980,-
1100908,1981,-
1100908,1982,-
1100908,1983,-
1100908,1984,-
1100908,1985,-
1100908,1986,-
1100908,1987,-
1100908,1988,-
1100908,1989,-
1100908,1990,-
1100908,1991,-
1100908,1992,-
1100908,1993,3168
1100908,1994,1760
1100908,1995,1830
1100908,1996,2835
1100908,1997,3120
1100908,1998,4721
1100908,1999,3726
1100908,2000,4099
1100908,2001,4685
1100908,2002,6268
1100908,2003,6081
1100908,2004,6424
1100908,2005,6394
1100908,2006,6012
1100908,2007,5881
1100908,2008,6577
1100908,2009,6793
1100908,2010,7081
1100908,2011,7193
1100908,2012,3991
1100908,2013,4016
1100908,2014,5453
1100056,1974,-
1100056,1975,-
1100056,1976,-
1100056,1977,-
1100056,1978,-
1100056,1979,-
1100056,1980,-
1100056,1981,-
1100056,1982,-
1100056,1983,-
1100056,1984,-
1100056,1985,2319
1100056,1986,1929
1100056,1987,2009
1100056,1988,7320
1100056,1989,7835
1100056,1990,7762
1100056,1991,10200
1100056,1992,14000
1100056,1993,14422
1100056,1994,10211
1100056,1995,4276
1100056,1996,6355
1100056,1997,5149
1100056,1998,4559
1100056,1999,6717
1100056,2000,6818
1100056,2001,6250
1100056,2002,6745
1100056,2003,4920
1100056,2004,4644
1100056,2005,4501
1100056,2006,5088
1100056,2007,5929
1100056,2008,6992
1100056,2009,6991
1100056,2010,7030
1100056,2011,2870
1100056,2012,3013
1100056,2013,3163
1100056,2014,4812
1100924,1974,-
1100924,1975,-
1100924,1976,-
1100924,1977,-
1100924,1978,-
1100924,1979,-
